tumour,subsite,setting,line,subgroup,trial,phase,population,intervention,results,comment,pe,pm,rf,extra,link,src,flags
Bladder Cancer,NMIBC,,,,Sylvester meta-analysis (CIS),Meta-analysis,"CIS; 9 RCTs, 700 patients",BCG vs intravesical chemo,"CR 68 vs 52% (OR 0.53); no evidence of disease 47 vs 26% at median 3.6 y (OR 0.41); progression reduced 26%, NS",,"CR 68 vs 52% (OR 0.53, p=0.0002)",15947584,,,,Bladder Cancer!4,
Bladder Cancer,NMIBC,,,,Sylvester meta-analysis (progression),Meta-analysis,"Superficial bladder cancer (Ta/T1/CIS); 24 RCTs, 4863 patients",BCG vs TURBT alone or other intravesical therapy,"27% reduction in odds of progression (OR 0.73, p=0.001); no difference in OS or bladder cancer death",Benefit confined to patients who received maintenance BCG,"27% reduction in odds of progression (OR 0.73, p=0.001)",12394686,,,,Bladder Cancer!4 (split),
Bladder Cancer,NMIBC,,,,Herr et al,,"High-risk superficial bladder cancer (Ta, T1, CIS); n=86",TURBT + BCG (weekly x6) vs TURBT alone,"10-y PFS 61.9 vs 37%, p=0.0063; 10-y disease-specific survival 75 vs 55%, p=0.03",Controls with superficial recurrence could cross over to BCG (18 did; 15 of them did not progress),"10-y progression-free rate 61.9% (95% CI 47.2-76.7) vs 37% (95% CI 22.9-53.1); median progression-free interval NR vs 46 mo, p=0.0063",7751885,,,,Bladder Cancer!5,
Bladder Cancer,NMIBC,,,,Harland et al,,New pT1G3 NXM0 TCC: unifocal without CIS (group 1) or multifocal and/or CIS (group 2); n=210,Radical RT vs observation (group 1) or vs intravesical therapy (group 2),No benefit from RT: progression-free interval HR 1.07 (0.65-1.74); PFS HR 1.35 (0.92-1.98); OS HR 1.32 (0.86-2.04),Prognosis poor irrespective of treatment,"Progression-free interval HR 1.07 (95% CI 0.65-1.74), p=0.785",17631326,,,,Bladder Cancer!6,
Bladder Cancer,NMIBC,,,,POTOMAC,Phase 3,BCG-naive high-risk NMIBC after TURBT; n=1018,Durva + BCG (I+M) vs Durva + BCG induction only vs BCG (I+M),"DFS HR 0.68 (0.50-0.93), p=0.015 for durva + BCG (I+M) vs BCG (I+M) at median 61 mo; grade 3-4 TRAEs 21 vs 4%; OS NS",,"DFS HR 0.68 (95% CI 0.50-0.93), p=0.015 (durva + BCG I+M vs BCG I+M)",41115436,,,,Bladder Cancer!7,
Bladder Cancer,NMIBC,,,,CREST,Phase 3,"BCG-naive high-risk NMIBC (Ta HG, T1, CIS); n=1055",Sasanlimab SC + BCG induction+maintenance (Arm A) vs sasanlimab + BCG induction (Arm B) vs BCG induction+maintenance (Arm C),"Arm A vs C: EFS HR 0.68 (0.49-0.94), one-sided p=0.0095; 36-mo EFS 82.1 vs 74.8%; benefit consistent across CIS and T1 subgroups",Author correction published (PMID 40691368),"EFS HR 0.68 (95% CI 0.49-0.94), one-sided p=0.0095",40450141,,,,Bladder Cancer!8,
Bladder Cancer,NMIBC,,,,Joudi et al,Phase 2,BCG failure,BCG-IFN,24-mo DFS 45% after BCG failure; 59% if BCG-naive,Higher than comparison with BCG alone in other studies,"24-mo DFS 45% after prior BCG failure (59% if BCG-naive), n=1007",16818189,,,,Bladder Cancer!9,
Bladder Cancer,NMIBC,,,,KEYNOTE-057,Phase 2,BCG unresponsive CIS+/- papillary disease,Pembro,3-mo CR 41% (39/96); 12-mo DFS 19%,Unclear how this might compare to intravesical salvage options,"3-mo complete response 41% (39/96, 95% CI 31-51)",34051177,,,,Bladder Cancer!10,
Bladder Cancer,NMIBC,,,,SWOG 1605,Phase 2,BCG unresponsive CIS,Atezolizumab,6-mo CR in CIS 27% (20/74); 3-mo clinical CR 43% (post hoc); 18-mo EFS 49% in Ta/T1,Did not meet its prespecified efficacy threshold; grade 3-5 TRAEs 16% including 3 treatment-related deaths,6-mo pathological CR in CIS 27% (20/74),37596191,,,,Bladder Cancer!11,
Bladder Cancer,NMIBC,,,,Boorjian,Phase 3,BCG unresponsive disease,Nadofaragene firadenovec,CR 53% (55/103); 45.5% of responders still in CR at 12 mo,,CR at any time in CIS 53% (55/103),33253641,,,,Bladder Cancer!12,
Bladder Cancer,NMIBC,,,,BOND-003 Cohort C,Phase 3,BCG-unresponsive CIS +/- Ta/T1; n=112,Intravesical cretostimogene grenadenorepvec (single arm),CR at any time 75% (83/110) at median 26 mo follow-up; no grade 3-4 treatment-related AEs,"Bladder-sparing option; single arm, so no randomised comparison",CR at any time 75% (83/110),42508433,,,,"new entry, Sep 2026",
